l_english:

demon:0 "Demon"
kokiri_slingshoter_flavor:0 "#F Kokiri Slingshoter are the best in all of Deku. Under the cover of the woods they can stalk their prey, fauna or foe, delivering swift death with the twang of a slingshot#!"

hyrule_solider:0 "Hyrule Solider"
hyrule_solider_desc:0 "The Hyrulean Soldiers, also known simply as Guards or Soldiers, are a recurring group in the Legend of Zelda series. The military recruits of Hyrule Castle, they keep order in Hyrule and protect the Royal Family."
hyrule_solider_flavor:0 "#F The Hyrulean Soldiers, also known simply as Guards or Soldiers, are a recurring group in the Legend of Zelda series. The military recruits of Hyrule Castle, they keep order in Hyrule and protect the Royal Family#!"

samurai:0 "Naginata Warriors"
samurai_bow:0 "Yumi Archers"
samurai_flavor:0 "#F The naginata is a pole weapon and one of several varieties of traditionally made Japanese blades (nihonto).Naginata were originally used by the samurai class of feudal Japan, as well as by ashigaru (foot soldiers) and sōhei (warrior monks).#!"
samurai_bow_flavor:0 "#F Japanese warriors have become masters of the bow and view it as an integral part of their warrior way#!"
samurai_tanegashima:0 "Ashigaru"
light_infantry:0 "Light Infantry"
thief_city_watch:0 "City Watch"
thief_city_watch_flavor:0 "#F The City Watch represents the law in The City. While The Baron marches to war with his regular military force, he leaves the oversight of his rule to the City Watch Sheriff and his watch officers and policemen. The Watch is responsible for keeping crime on the streets at bay and arresting any law breakers.#!"
thief_child_of_karrus:0 "Children of Karras"
thief_child_of_karrus_flavor:0 "#F The Builder's Children, or Children of Karras, were robotic creations of Mechanist technology, forged from iron to serve as workers and warriors. Not to be confused with either Masked Servants, Metal Watchers or Turrets, the Builder's Children can move about freely and are completely inorganic.#!"
